Shall we prepare beer? (1/2),한국어 텍스트,영어 텍스트,중국어 텍스트(간체),중국어 텍스트(번체),일본어 텍스트,독일어 텍스트,,,,,,,,,,,,,
string_prologue_narration_6001," “이곳은 오래전, 달콤한 향기로 가득했던 거리. 사람들은 늘 웃으며 모여들었고, 이 작은 가게가 동네의 중심이었죠.”","“Long ago, this street was filled with a sweet scent. People always gathered with smiles, and this small shop was the heart of the neighborhood.”",“这里曾是充满甜蜜香气的街道。人们总是笑着聚集在此，这家小店曾是社区的中心。”,「這裡是從前充滿甜蜜香氣的街道。人們總是笑著聚集於此，這間小店曾是街區的中心。」,「ここは昔、甘い香りに満ちた通りだった。人々はいつも笑いながら集まり、この小さな店が町の中心だったんだ。」,"""Vor langer Zeit war diese Straße von süßem Duft erfüllt. Die Menschen trafen sich immer mit einem Lächeln im Gesicht und dieser Laden war das Herzstück der Nachbarschaft.""",,,,,,,,,,,,,
string_prologue_narration_6002,"“하지만 시간이 흐르며 주인은 떠났고, 가게는 잊혔습니다.” ","“But as time went by, the owner left, and the shop was forgotten.”",“但时光流逝，店主离去，店铺也渐渐被遗忘。”,「但隨著時光流逝，店主離去，店鋪也逐漸被遺忘。」,「しかし時が流れ、主人は去り、店は忘れ去られてしまった。」,"""Aber nach einiger Zeit ging der Besitzer und der Laden wurde vergessen.""",,,,,,,,,,,,,
string_prologue_meow_6001," “여기가 바로… 그 가게구나. 어릴 때 먹었던 도넛 맛, 아직도 기억나. 다시 이곳을 일으켜 세운다면… 사람들에게 웃음을 돌려줄 수 있겠지.” ",“So this is… the store. I still remember the taste of the donuts I had as a child. If I could bring this place back to life… I could bring back smiles to people’s faces.”,“原来这里就是……那家店啊。儿时吃过的甜甜圈味道，至今仍记忆犹新。若能让这里重焕生机……定能为人们带回笑容吧。” ”,「原來這裡就是…那間店啊。兒時吃過的甜甜圈滋味，至今仍記憶猶新。若能讓這地方重振旗鼓…或許就能把笑容還給人們吧。」 」,「ここが…あの店か。子供の頃に食べたドーナツの味、今でも覚えている。再びこの店を立て直せれば…人々に笑顔を取り戻せるだろう。」 」,"""Also das… ist der Laden. Ich erinnere mich noch an den Geschmack der Donuts, die ich als Kind gegessen habe. Wenn ich diesen Ort wieder zum Leben erwecken könnte… dann könnte ich den Menschen wieder ein Lächeln schenken.""",,,,,,,,,,,,,
string_prologue_meow_6002,“지금은 아무것도 없지만… 시작은 작은 한 걸음이니까.” ,“There’s nothing here now… but every big journey starts with a single small step.”,“虽然现在空无一物…但开始总要迈出小小一步。”,「雖然現在什麼都沒有…但開始總要從小小一步起。」,「今は何もないけれど…始まりは小さな一歩だから。」,"""Im Moment gibt es hier noch nichts… aber jede große Reise beginnt mit einem einzelnen kleinen Schritt.""",,,,,,,,,,,,,
string_prologue_Fifi_6001," “어, 드디어 왔네! 네가 이 가게를 다시 살린다고 해서 기다리고 있었어.” ","“Oh, you’re finally here! I was waiting for you since I heard you were going to revive this shop.”",“咦，你终于来了！听说你要重振这家店，我一直在等呢。”,「咦，你終於來了！聽說你要重振這間店鋪，我一直在等著呢。」,「おっ、やっと来たね！君がこの店を復活させるって聞いて待ってたんだ。」,"""Oh, du bist endlich hier! Ich habe auf dich gewartet seit ich gehört habe, du würdest diesen Laden wiederbeleben.""",,,,,,,,,,,,,
string_prologue_Fifi_6002,"“혼자라면 힘들겠지만, 우리 둘이라면 할 수 있어! 하나씩 차근차근 다시 채워나가자.”","“It might be tough alone, but together, we can do it! Let’s refill it little by little.”",“独自一人或许艰难，但我们两人定能做到！让我们一步步重新填满这里吧。”,「獨自一人或許艱難，但我們兩人就能辦到！讓我們一步步重新填滿這裡吧。」,「一人じゃ大変だけど、二人ならできる！一つずつ、丁寧にまた満たしていこう。」,"""Alleine könnte es schwer sein, aber zusammen können wir es schaffen! Lass uns alles Schritt für Schritt füllen.""",,,,,,,,,,,,1,
string_prologue_meow_6003,"“고마워. 정말 많은 도움이 될 거야. 우선, 도넛부터 다시 만들어야겠지?”","“Thank you. You’ll be a great help. First, we need to start making donuts again, right?”",“谢谢你。这真的帮了大忙。首先，得重新开始做甜甜圈对吧？”,「謝謝你。這真的幫了大忙。首先，該從重新製作甜甜圈開始吧？」,「ありがとう。本当に助かるよ。まずは、ドーナツから作り直さなきゃね？」,"""Danke! Du wirst eine große Hilfe sein. Zuerst müssen wir wieder anfangen, Donuts zu machen, stimmt's?""",,,,,,,,,,,,,
string_prologue_Fifi_6003," “응, 맞아! 이 가게가 다시 살아나면… 언젠가 이 거리 전체도 활기를 되찾을 거야. 그리고 언젠간 마을 사람들 모두가 이곳을 찾아올 수도 있지 않을까?” ","“Yes, that’s right! If this shop comes back to life… someday this whole street will come alive again. And maybe, someday, all the villagers will come to visit.”",“嗯，没错！等这家店重新焕发生机…总有一天整条街都会重现活力。说不定哪天全村人都能来这里呢？”,「嗯，沒錯！這間店重新甦醒後…總有一天整條街都會重現生機。說不定哪天全村人都會來這裡呢？」,「うん、そうだね！このお店が再び活気づけば…いつかこの通り全体も活気を取り戻すはず。そしていつか、町の人たちがみんなここを訪れるようになるかもしれないよ？」,"""Genau! Wenn dieser Laden wieder zum Leben erwacht… wird irgendwann die ganze Straße wieder belebt sein. Und vielleicht werden irgendwann alle Dorfbewohner zu Besuch kommen.""",,,,,,,,,,,,,
string_prologue_meow_6004," “좋아! 이 가게를 시작으로, 가장 따뜻하고 즐거운 장소를 만들어보자!” ","“Alright! Starting with this shop, let's make the warmest and most joyful place!”",“好！就从这家店开始，打造最温暖快乐的场所吧！”,「好！就從這間店開始，打造最溫暖歡樂的場所吧！」,「よし！このお店を起点に、一番温かくて楽しい場所を作ろう！」,"""Okay! Lass uns mit diesem Laden anfangen und den herzlichsten und fröhlichsten Ort erschaffen.""",,,,,,,,,,,,,"캐릭터, 화면"
